 written on  1Feb2021 at 04:28:57 
           6
        2197
    8    4    4    4    4    4    4    4    4    4    4    4    8    4    2
    2    2    2    2    2    2    2    2    2    2    4    4    2    2    2
    2    2    2    2    2    2    2    2    4    4    2    2    2    2    2
    2    2    2    2    2    2    4    4    2    2    2    2    2    2    2
    2    2    2    2    4    4    2    2    2    2    2    2    2    2    2
    2    2    4    4    2    2    2    2    2    2    2    2    2    2    2
    4    4    2    2    2    2    2    2    2    2    2    2    2    4    4
    2    2    2    2    2    2    2    2    2    2    2    4    4    2    2
    2    2    2    2    2    2    2    2    2    4    4    2    2    2    2
    2    2    2    2    2    2    2    4    4    2    2    2    2    2    2
    2    2    2    2    2    4    8    4    4    4    4    4    4    4    4
    4    4    4    8    4    2    2    2    2    2    2    2    2    2    2
    2    4    2    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    2    4    2    2    2    2
    2    2    2    2    2    2    2    4    4    2    2    2    2    2    2
    2    2    2    2    2    4    2    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    2    4
    2    2    2    2    2    2    2    2    2    2    2    4    4    2    2
    2    2    2    2    2    2    2    2    2    4    2    1    1    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    4    2    2    2    2    2    2    2    2    2    2    2
    4    4    2    2    2    2    2    2    2    2    2    2    2    4    2
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    1    1    2    4    2    2    2    2    2    2    2
    2    2    2    2    4    4    2    2    2    2    2    2    2    2    2
    2    2    4    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    1    1    2    4    2    2    2
    2    2    2    2    2    2    2    2    4    4    2    2    2    2    2
    2    2    2    2    2    2    4    2    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    1    1    2
    4    2    2    2    2    2    2    2    2    2    2    2    4    4    2
    2    2    2    2    2    2    2    2    2    2    4    2    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    1    1    2    4    2    2    2    2    2    2    2    2    2    2
